"Órgão ";"Quantidade De Viagens ";"Quantidade De Diárias ";"Valor Pago Diárias ";"Valor Pago Passagens ";"Valor Total "
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS - IPSM";"311";"397,70";"68.248,63";"21.084,03";"89.332,66"
"INSTITUTO ESTADUAL DE FLORESTAS - IEF";"3341";"5.598,55";"1.013.222,39";"85.704,43";"1.098.926,82"
"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS - IEPHA";"455";"615,45";"97.507,04";"25.488,03";"122.995,07"
"INSTITUTO MINEIRO DE AGROPECUARIA - IMA";"6723";"7.053,45";"1.139.424,47";"87.587,11";"1.227.011,58"
"INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM";"779";"3.538,70";"667.299,77";"195.156,36";"862.456,13"
"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS - JUCEMG";"190";"565,95";"151.384,10";"178.704,93";"330.089,03"
"LOTERIA MINEIRA - LEMG";"13";"18,55";"5.315,25";"6.525,95";"11.841,20"
"OUVIDORIA GERAL DO ESTADO DE MINAS GERAIS - OGE";"161";"322,60";"68.303,27";"35.830,06";"104.133,33"
"POLICIA CIVIL DE MINAS GERAIS - PCMG";"15305";"14.202,65";"4.223.905,65";"0,00";"4.223.905,65"
"SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PRISIONAL - SEAP";"12873";"14.531,05";"2.563.292,91";"66.189,20";"2.629.482,11"
"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"973";"2.679,85";"457.638,94";"0,00";"457.638,94"
"SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS - SECCRI";"26";"45,10";"8.457,70";"8.182,52";"16.640,22"
"SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL - SECIR";"305";"759,85";"120.501,15";"71.778,09";"192.279,24"
"SECRETARIA DE ESTADO DE CULTURA - SEC";"235";"334,50";"68.132,90";"44.324,27";"112.457,17"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO - SEDA";"769";"2.529,70";"458.720,60";"66.902,58";"525.623,18"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS - SEDINOR";"36";"115,55";"18.083,76";"7.201,35";"25.285,11"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR";"168";"166,10";"30.630,57";"44.170,03";"74.800,60"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA - SEDPAC";"927";"1.346,85";"272.806,89";"119.372,38";"392.179,27"
"SECRETARIA DE ESTADO DE EDUCACAO - SEE";"37433";"43.905,40";"7.738.551,10";"249.958,05";"7.988.509,15"
"SECRETARIA DE ESTADO DE ESPORTES - SEESP";"252";"650,20";"101.996,07";"20.894,47";"122.890,54"
"SECRETARIA DE ESTADO DE FAZENDA - SEF";"927";"1.961,15";"438.256,41";"323.869,29";"762.125,70"
"SECRETARIA DE ESTADO DE GOVERNO - SEGOV";"1550";"4.099,50";"690.108,81";"105.390,01";"795.498,82"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL - SEMAD";"7096";"16.131,05";"2.948.068,10";"176.854,00";"3.124.922,10"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO - SEPLAG";"679";"1.426,45";"286.494,59";"189.353,60";"475.848,19"
"SECRETARIA DE ESTADO DE SAUDE - SES";"28650";"46.908,15";"9.308.386,47";"1.414.610,44";"10.722.996,91"
"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA - SESP";"848";"1.583,85";"286.971,96";"32.759,85";"319.731,81"
"SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL - SEDESE";"2534";"4.248,70";"894.925,84";"301.539,43";"1.196.465,27"
"SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS - SETOP";"52";"76,20";"14.453,85";"0,00";"14.453,85"
"SECRETARIA DE ESTADO DE TURISMO - SETUR";"311";"774,60";"164.849,48";"151.833,83";"316.683,31"
"SECRETARIA DE ESTADO EXTRAORDINARIA DE DESENVOLVIMENTO INTEGRADO E FORUNS REGIONAIS - SEEDIF (EXTINTA)";"497";"1.256,15";"214.298,09";"0,00";"214.298,09"
"SECRETARIA GERAL - SG";"63";"112,25";"22.085,56";"5.516,79";"27.602,35"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS - REITORIA";"702";"1.430,00";"327.443,84";"205.354,32";"532.798,16"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS - UNIMONTES";"485";"784,25";"157.118,26";"0,00";"157.118,26"
