"Órgão ";"Quantidade De Viagens ";"Quantidade De Diárias ";"Valor Pago Diárias ";"Valor Pago Passagens ";"Valor Total "
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS - IPSEMG";"4";"6,40";"1.207,05";"0,00";"1.207,05"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS - IPSM";"423";"505,45";"111.171,63";"2.515,21";"113.686,84"
"INSTITUTO ESTADUAL DE FLORESTAS - IEF";"2694";"3.091,35";"563.122,85";"18.238,40";"581.361,25"
"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS - IEPHA";"260";"400,00";"65.045,00";"6.062,97";"71.107,97"
"INSTITUTO MINEIRO DE AGROPECUARIA - IMA";"3262";"6.565,80";"1.106.933,85";"72.056,65";"1.178.990,50"
"INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM";"636";"2.498,10";"454.614,25";"181.759,75";"636.374,00"
"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS - JUCEMG";"18";"18,95";"6.257,40";"17.675,48";"23.932,88"
"LOTERIA MINEIRA - LEMG";"13";"10,90";"3.367,90";"8.582,26";"11.950,16"
"OUVIDORIA GERAL DO ESTADO DE MINAS GERAIS - OGE";"37";"82,95";"16.797,20";"7.525,76";"24.322,96"
"POLICIA CIVIL DE MINAS GERAIS - PCMG";"14787";"11.947,00";"3.627.005,42";"61.102,85";"3.688.108,27"
"SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PRISIONAL - SEAP";"23666";"21.838,90";"4.061.007,28";"165.294,51";"4.226.301,79"
"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"781";"2.230,95";"375.580,35";"58.984,35";"434.564,70"
"SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL - SECIR";"4";"0,00";"0,00";"0,00";"0,00"
"SECRETARIA DE ESTADO DE CULTURA - SEC";"252";"513,30";"116.029,97";"138.996,73";"255.026,70"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO - SEDA";"37";"148,20";"24.600,20";"0,00";"24.600,20"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS - SEDINOR";"61";"188,35";"28.252,50";"0,00";"28.252,50"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR";"284";"592,45";"128.144,13";"113.315,44";"241.459,57"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA - SEDPAC";"208";"167,95";"35.598,30";"0,00";"35.598,30"
"SECRETARIA DE ESTADO DE EDUCACAO - SEE";"20362";"23.030,10";"3.979.933,37";"114.456,38";"4.094.389,75"
"SECRETARIA DE ESTADO DE ESPORTES - SEESP";"36";"118,60";"22.483,87";"0,00";"22.483,87"
"SECRETARIA DE ESTADO DE FAZENDA - SEF";"854";"1.691,55";"395.152,41";"429.685,22";"824.837,63"
"SECRETARIA DE ESTADO DE GOVERNO - SEGOV";"427";"804,05";"152.339,44";"58.717,37";"211.056,81"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL - SEMAD";"3311";"6.608,75";"1.227.165,46";"105.016,85";"1.332.182,31"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO - SEPLAG";"109";"199,20";"53.085,34";"111.494,84";"164.580,18"
"SECRETARIA DE ESTADO DE SAUDE - SES";"22731";"40.635,10";"8.109.399,37";"830.623,53";"8.940.022,90"
"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA - SESP";"696";"755,40";"154.234,07";"28.439,97";"182.674,04"
"SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL - SEDESE";"1067";"1.793,15";"389.779,87";"48.914,77";"438.694,64"
"SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS - SETOP";"57";"72,90";"20.745,15";"29.171,97";"49.917,12"
"SECRETARIA DE ESTADO DE TURISMO - SETUR";"27";"57,45";"11.538,90";"0,00";"11.538,90"
"SECRETARIA GERAL - SG";"436";"839,35";"168.302,72";"147.277,58";"315.580,30"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS - REITORIA";"809";"1.605,50";"373.557,83";"347.037,35";"720.595,18"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS - UNIMONTES";"464";"692,20";"164.704,84";"191.941,46";"356.646,30"
