"Órgão ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"SECRETARIA DE ESTADO DE CULTURA";"31.130,50";"31.130,50";"31.130,50"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"194.538,36";"188.556,39";"188.320,16"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS";"62.168,85";"62.168,85";"63.551,65"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR";"10.213,77";"10.213,77";"10.213,77"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"132.017,42";"132.017,42";"136.087,62"
"SECRETARIA DE ESTADO DE EDUCACAO";"4.080.338,85";"4.080.338,85";"4.155.689,10"
"SECRETARIA DE ESTADO DE ESPORTES";"80.474,60";"75.400,60";"75.844,10"
"SECRETARIA DE ESTADO DE FAZENDA";"262.587,27";"261.495,27";"261.479,67"
"SECRETARIA DE ESTADO DE GOVERNO";"249.419,25";"249.419,25";"309.505,35"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"1.050.818,05";"1.050.818,05";"1.107.064,11"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"145.710,40";"145.710,40";"148.562,65"
"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"299.860,95";"299.860,95";"308.904,10"
"SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL";"32.034,50";"29.722,70";"33.756,30"
"SECRETARIA DE ESTADO DE TURISMO";"127.951,07";"127.951,07";"129.576,57"
"SECRETARIA DE ESTADO EXTRAORDINARIA DE DESENVOLVIMENTO INTEGRADO E FORUNS REGIONAIS";"128.171,90";"128.171,90";"135.307,60"
"SECRETARIA-GERAL";"9.213,00";"9.213,00";"9.213,00"
"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"878.673,09";"878.673,09";"903.186,95"
"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"135.341,63";"135.341,63";"136.944,91"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"224.322,86";"224.322,86";"235.418,90"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"76.527,88";"76.527,88";"76.782,92"
