"Órgão ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"10.000,00";"0,00";"0,00"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"0,00";"1.818,40";"2.395,15"
"INSTITUTO ESTADUAL DE FLORESTAS";"4.829,90";"2.131,90";"1.377,25"
"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"0,00";"553,50";"776,00"
"INSTITUTO MINEIRO DE AGROPECUARIA";"5.579,66";"5.694,90";"5.311,35"
"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"70.957,87";"23.164,95";"23.164,95"
"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"133.568,13";"136.291,38";"74.605,60"
"PROCURADORIA GERAL DE JUSTICA";"201.138,75";"197.079,00";"138.107,00"
"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"1.000,00";"1.456,05";"1.887,35"
"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"23.140,25";"35.477,40";"71.305,45"
"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"50.388,00";"0,00";"0,00"
"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"1.987,00";"653,55";"653,55"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"24.000,00";"7.656,40";"15.914,05"
"SECRETARIA DE ESTADO DE EDUCACAO";"1.188.345,30";"167.184,80";"116.833,85"
"SECRETARIA DE ESTADO DE FAZENDA";"6.492,00";"8.225,98";"0,00"
"SECRETARIA DE ESTADO DE GOVERNO";"0,00";"2.832,20";"2.832,20"
"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"178.508,60";"133.634,70";"355.319,40"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"37.179,70";"21.612,80";"29.451,25"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"2.724,00";"2.665,65";"2.753,75"
"SECRETARIA-GERAL";"20.442,50";"1.446,00";"4.003,50"
"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"66.491,13";"66.491,13";"102.522,09"
"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"10.791,18";"10.791,18";"22.945,55"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"4.349,60";"620,70";"764,90"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"17.387,50";"0,00";"0,00"
